ORF,Gene Name,Molecular Weight (Da),Length (Amino Acids),Protein Abundance (molecules per cell),Protein decay rate (min-1),mRNA Abundance (molecules per cell)
YIL111W,COX5B,17197,151,1893,0.000891,1
YIL112W,HOS4,123555,1083,1124,,0.3
YIL113W,SDP1,23885,209,1769,0.000891,0.5
YIL114C,POR2,31177,281,3248,0.000891,0.8
YIL115C,NUP159,158906,1460,2030,0.008453,0.7
YIL115W-A,,13917,123,,,
YIL116W,HIS5,42646,385,3560,0.000891,1
YIL117C,PRM5,34650,318,1260,0.000891,0.7
YIL118W,RHO3,25312,231,4964,0.004053,1.6
YIL119C,RPI1,46622,407,1123,0.02666,0.4
YIL120W,QDR1,61758,563,0,,0.2
YIL121W,QDR2,59617,542,2558,0.01333,0.6
YIL122W,POG1,39498,351,619,0.02666,0.2
YIL123W,SIM1,48070,475,1510,0.030137,2.5
YIL124W,AYR1,32814,297,1813,0.00912,2.2
YIL125W,KGD1,114415,1014,7252,0.008155,0.6
YIL126W,STH1,156741,1359,1772,0,0.6
YIL127C,,23845,206,2355,0.011552,1.5
YIL128W,MET18,117881,1032,2198,0.028881,0.4
YIL129C,TAO3,269855,2376,520,0.002318,0.9
YIL130W,ASG1,108780,964,626,0.231049,0.5
YIL131C,FKH1,53490,484,1445,0.02236,0.3
YIL132C,CSM2,24952,213,348,0.000891,0.2
YIL133C,RPL16A,22201,199,39423,0,19.9
YIL134C-A,,7598,67,,,
YIL134W,FLX1,34409,311,0,,0.3
YIL135C,VHS2,47961,436,1546,0.034657,0.6
YIL136W,OM45,44580,393,5451,0.006027,0.5
YIL137C,TMA108,107722,946,2636,0.019254,0.4
YIL138C,TPM2,19093,161,7228,0.028881,1.5
YIL139C,REV7,28759,245,0,,0.1
YIL140W,AXL2,90782,823,1766,0.00608,0.4
YIL141W,,14437,129,0,,0.2
YIL142C-A,,11940,110,,,
YIL142W,CCT2,57203,527,0,,2.1
YIL143C,SSL2,95340,843,1870,0.346574,0.6
YIL144W,TID3,80487,691,666,0.017773,0.2
YIL145C,PAN6,35032,309,2852,0,1
YIL146C,ECM37,58968,529,2854,0.000891,0.3
YIL147C,SLN1,134434,1220,551,0.020387,0.4
YIL148W,RPL40A,14554,128,10681,0,19.7
YIL149C,MLP2,195140,1679,1302,0.034657,0.5
YIL150C,MCM10,65815,571,12065,0.000891,0.2
YIL151C,,128733,1118,423,0.053319,0.4
YIL152W,,27201,235,0,,0.7
YIL153W,RRD1,45082,393,2137,0.005291,0.2
YIL154C,IMP2',39070,346,2428,0,0.8
YIL155C,GUT2,72388,649,934,0.013591,0.6
YIL156W,UBP7,123133,1071,509,0.014441,0.3
YIL156W-A,,14768,133,,,
YIL156W-B,,8164,73,,,
YIL157C,,22044,197,1413,0.005776,2.7
YIL158W,,22840,204,1103,0.000891,1.7
YIL159W,BNR1,156850,1375,4463,0.034657,0.3
YIL160C,POT1,44730,417,779,0.023105,0.1
YIL161W,,27112,235,1556,0.01118,0.5
YIL162W,SUC2,60639,532,1499,0.000891,0.8
YIL163C,,13989,117,0,,0.5
YIL164C,NIT1,21620,199,0,,0.4
YIL165C,,12940,119,30824,0.000891,0.5
YIL166C,,61897,542,0,,0.2
YIL169C,,99735,995,0,,0.4
YIL171W-A,,16970,150,,,
YIL172C,,68698,589,140,0.019804,0.1
YIL173W,VTH1,174426,1549,268,0.000891,0.2
YIL176C,,12866,120,0,,1.3
YIL177C,,197510,1758,0,,1.9
YIL177W-A,,18605,160,,,
YIR001C,SGN1,28954,250,5451,0.001138,0.4
YIR002C,MPH1,114057,993,1036,0.000891,0.3
YIR003W,,74762,679,1055,0.021661,0.5
YIR004W,DJP1,48574,432,5451,0.004151,0.8
YIR005W,IST3,17098,148,774,0.000891,0.5
YIR006C,PAN1,160267,1480,8996,0.231049,0.8
YIR007W,,86978,764,898,0.002567,0.3
YIR008C,PRI1,47690,409,165,0.011552,0.5
YIR009W,MSL1,12830,111,423,0.231049,0.3
YIR010W,DSN1,65692,576,843,0.031507,0.2
YIR011C,STS1,36484,319,1781,0.231049,0.9
YIR012W,SQT1,47167,431,12023,0.000891,2.4
YIR013C,GAT4,13245,121,0,,0.3
YIR014W,,27600,242,,,
YIR015W,RPR2,16344,144,1226,0.040773,0.3
YIR016W,,28881,265,3469,0.000891,1
YIR017C,MET28,21590,187,1215,0.023105,0.2
YIR017W-A,,22888,199,,,
YIR018C-A,,5218,45,,,
YIR018W,YAP5,28386,245,200,0.000891,0.6
YIR019C,MUC1,136109,1367,0,,0.3
YIR020C,,11672,100,0,,0.1
YIR020C-B,,27550,244,,,
YIR020W-A,,8971,80,,,
YIR021W,MRS1,41289,363,4399,0.014441,0.4
YIR021W-A,,7680,70,,,
YIR022W,SEC11,18762,167,2645,0.031507,2
YIR023C-A,,11613,107,,,
YIR023W,DAL81,109173,970,443,0.000891,0.3
YIR024C,,24597,216,495,0.001678,0.4
YIR025W,MND2,42825,368,0,,0.2
YIR026C,YVH1,41185,364,4510,0.017329,1.3
YIR027C,DAL1,50126,460,1333,0.000891,0.1
YIR028W,DAL4,71755,635,0,,0.2
YIR029W,DAL2,38714,343,0,,0.6
YIR030C,DCG1,27313,244,0,,0.2
YIR030W-A,,13675,127,,,
YIR031C,DAL7,62793,554,0,,0.2
YIR032C,DAL3,21727,195,0,,0.3
YIR033W,MGA2,127053,1113,1313,0.02236,0.9
YIR034C,LYS1,41464,373,45971,0,4.6
YIR035C,,27480,254,1993,0,1.4
YIR036C,,28804,263,1358,0.012836,0.6
YIR036W-A,,15234,133,,,
YIR037W,HYR1,18641,163,4614,0.015753,4.8
YIR038C,GTT1,26795,234,4602,0.010502,1.3
YIR039C,YPS6,58213,537,0,,0.1
YIR040C,,13018,110,0,,0.2
YIR041W,,13159,124,0,,0.4
YIR042C,,27422,236,0,,0.2
YJL001W,PRE3,23547,215,10295,0.019254,2.5
YJL002C,OST1,54071,476,11766,0.008155,2.6
YJL003W,COX16,14077,118,565,0.346574,0.6
YJL004C,SYS1,23715,203,576,0.01216,0.9
YJL005W,CYR1,227832,2026,907,0.009242,0.5
YJL006C,CTK2,37904,323,1295,0.024755,0.5
YJL007C,,11856,104,,,
YJL008C,CCT8,61662,568,1342,0.000891,1.7
YJL009W,,12658,108,0,,0.7
YJL010C,,77721,666,3053,0.000891,0.6
YJL011C,RPC17,18610,161,1906,0.002173,1
YJL012C,VTC4,83154,721,0,,1.3
YJL013C,MAD3,59521,515,2664,0.023105,0.2
YJL014W,CCT3,58814,534,3030,0.000891,1.6
YJL015C,,15179,124,0,,0.4
YJL016W,,63206,561,2820,0.02236,0.7
YJL019W,MPS3,79174,682,0,,0.2
YJL020C,BBC1,128296,1157,0,,0.4
YJL020W-A,,8685,85,,,
YJL022W,,11533,102,0,,0.8
YJL023C,PET130,39812,347,605,0.010345,0.4
YJL024C,APS3,21938,194,1948,0.000329,0.3
YJL025W,RRN7,60357,514,2747,0.04621,0.3
YJL026C-A,,7936,73,,,
YJL026W,RNR2,46147,399,42729,0.000891,2.8
YJL027C,,15714,138,0,,0.3
YJL028W,,12897,111,,,
YJL029C,VPS53,95448,822,1681,0.000891,0.4
YJL030W,MAD2,22284,196,934,0.028881,0.8
YJL031C,BET4,39674,327,0,,0.4
YJL032W,,12377,104,0,,0.2
YJL033W,HCA4,87192,770,4910,0.018241,0.5
YJL034W,KAR2,74467,682,95571,0.00559,7.3
YJL035C,TAD2,28252,250,698,0.049511,0.3
YJL036W,SNX4,49002,423,542,0.003448,0.5
YJL037W,,24746,224,0,,0.2
YJL038C,,24842,219,0,,0.2
YJL039C,NUP192,191533,1683,2367,0.003573,0.4
YJL041W,NSP1,86515,823,4626,0.053319,0.7
YJL042W,MHP1,155206,1398,952,0.005545,0.9
YJL043W,,29238,257,1288,0.000891,0.4
YJL044C,GYP6,53814,458,1673,0.01612,0.5
YJL045W,,69382,634,2578,0.000891,0.2
YJL046W,,47003,409,0,,0.2
YJL047C,RTT101,99325,842,272,0.099021,0.4
YJL047C-A,,5049,44,,,
YJL048C,UBX6,45016,396,1123,0.018241,0.4
YJL049W,,52849,450,2121,0.010502,0.3
YJL050W,MTR4,122054,1073,7327,0.014748,0.6
YJL051W,,91256,822,0,,0.3
YJL052C-A,,4551,39,,,
YJL052W,TDH1,35750,332,55410,0.008155,19.5
YJL053W,PEP8,42547,379,1455,0.000891,0.9
YJL054W,TIM54,54182,478,1399,0.000891,0.5
YJL055W,,26864,245,4123,0.021661,2.6
YJL056C,ZAP1,98865,880,2967,0.004252,
YJL057C,IKS1,75327,667,749,0.033007,0.4
YJL058C,BIT61,60840,543,1647,0.024755,0.1
YJL059W,YHC3,46383,408,0,,0.4
YJL060W,BNA3,50082,444,1347,0.021661,0.4
YJL061W,NUP82,82085,713,4010,0.008557,0.8
YJL062W,LAS21,94850,830,931,0.023902,0.6
YJL062W-A,,9881,85,1376,0.005776,
YJL063C,MRPL8,26945,238,2402,0.006601,1.1
YJL064W,,13854,131,0,,0.5
YJL065C,DLS1,18792,167,1880,0.023902,0.8
YJL066C,MPM1,28470,252,2847,0.000891,0.4
YJL067W,,12748,116,0,,0.5
YJL068C,,33934,299,1467,0.002852,0.9
YJL069C,UTP18,66423,594,15035,0.011552,0.8
YJL070C,,104263,888,653,0.011002,0.4
YJL071W,ARG2,65609,574,94,0.086643,0.5
YJL072C,PSF2,25061,213,1768,0,0.5
YJL073W,JEM1,75143,645,3649,0.033007,0.4
YJL074C,SMC3,141335,1230,1316,0.003194,0.3
YJL075C,,15652,138,0,,0.5
YJL076W,NET1,128530,1189,2212,0.01612,0.4
YJL077C,ICS3,14828,131,0,,0.3
YJL077W-A,,3078,28,,,
YJL077W-B,,4015,32,,,
YJL078C,PRY3,89151,881,4939,0.000891,0.5
YJL079C,PRY1,30634,299,1389,0.000891,1.8
YJL080C,SCP160,134808,1222,24284,0.003788,1.6
YJL081C,ARP4,54831,489,897,0.00806,0.5
YJL082W,IML2,82535,731,2047,0.00673,0.4
YJL083W,TAX4,68767,604,332,0.030137,0.2
YJL084C,,117215,1046,679,0.231049,0.4
YJL085W,EXO70,71293,623,2478,0.057762,0.2
YJL086C,,14153,122,0,,0.3
YJL087C,TRL1,95336,827,1735,0.033007,0.3
YJL088W,ARG3,37845,338,958,0.014146,0.5
YJL089W,SIP4,96004,829,0,,0.8
YJL090C,DPB11,87240,764,453,0.036481,0.6
YJL091C,GWT1,55466,490,2060,0.000891,0.7
YJL092W,HPR5,134305,1174,4362,0.016504,0.6
YJL093C,TOK1,77407,691,0,,0.7
YJL094C,KHA1,97110,873,145,0.036481,0.7
YJL095W,BCK1,164194,1478,94,0.000891,0.6
YJL096W,MRPL49,18387,161,1457,0,0.8
YJL097W,PHS1,24510,217,9022,0,2.3
YJL098W,SAP185,121401,1058,5499,0.011552,0.7
YJL099W,CHS6,86041,746,994,0.038508,0.5
YJL100W,LSB6,70216,607,48,0,0.4
YJL101C,GSH1,78253,678,4307,0.346574,0.8
YJL102W,MEF2,91282,819,1456,0.017329,0.6
YJL103C,,70381,618,0,,0.4
YJL104W,PAM16,16216,149,3863,0.000305,0.8
YJL105W,SET4,63855,560,0,,0.5
YJL106W,IME2,73592,645,490,0.138629,0.5
YJL107C,,42507,387,1247,0.006931,0.6
YJL108C,PRM10,41488,383,0,,0.5
YJL109C,UTP10,200079,1769,8780,0.057762,1.1
YJL110C,GZF3,60519,551,268,0.030137,0.5
YJL111W,CCT7,59735,550,0,,1.7
YJL112W,MDV1,80031,714,1600,0.027726,0.7
YJL115W,ASF1,31603,279,4639,0.005635,0.8
YJL116C,NCA3,35412,337,0,,0.6
YJL117W,PHO86,34881,311,16424,0.000891,1.6
YJL118W,,25598,219,1630,0.023105,0.7
YJL119C,,12425,107,0,,0.6
YJL120W,,12803,107,0,,0.7
YJL121C,RPE1,25967,238,1946,0.000386,2.2
YJL122W,ALB1,19287,175,4060,0.012378,1.3
YJL123C,,53477,478,2427,0.01216,1.5
YJL124C,LSM1,20307,172,4057,0.00912,1.1
YJL125C,GCD14,43919,383,3418,0.000766,1.1
YJL126W,NIT2,34693,307,0,,1
YJL127C,SPT10,72922,640,1259,0.031507,0.7
YJL127C-B,,6017,52,,,
YJL127W-A,,4051,38,,,
YJL128C,PBS2,72719,668,2311,0.019254,0.8
YJL129C,TRK1,141072,1235,0,,0.7
YJL130C,URA2,245124,2214,10449,0.031507,2.9
YJL131C,,41461,356,268,0.013863,0.5
YJL132W,,84466,750,3731,0.000891,0.5
YJL133C-A,,7741,74,,,
YJL133W,MRS3,34501,314,1146,0.018734,0.9
YJL134W,LCB3,47371,409,3162,0.057762,0.9
YJL135W,,12374,105,0,,0.6
YJL136C,RPS21B,9760,87,75975,0,32.4
YJL136W-A,,3144,27,,,
YJL137C,GLG2,44546,380,824,0.115525,0.7
YJL138C,TIF2,44697,395,89176,0.000891,11.3
YJL139C,YUR1,50836,428,5372,0.04621,0.5
YJL140W,RPB4,25414,221,7581,0.000891,1.1
YJL141C,YAK1,91245,807,1589,0.000891,0.6
YJL142C,,14844,130,0,,0.5
YJL143W,TIM17,16584,158,5291,0.007617,2.6
YJL144W,,11659,104,125,0.04621,2.1
YJL145W,SFH5,34388,294,3684,0.002094,1.4
YJL146W,IDS2,53216,469,1113,0.000891,0.5
YJL147C,,44862,382,814,0.01333,0.5
YJL148W,RPA34,26875,233,4483,0,2.7
YJL149W,,77366,663,1281,0.231049,0.6
YJL150W,,11878,100,0,,0.4
YJL151C,SNA3,15199,133,11935,0.009495,4.2
YJL152W,,13653,119,0,,0.8
YJL153C,INO1,59642,533,1965,0.018241,0.5
YJL154C,VPS35,109141,944,2636,0.002166,0.7
YJL155C,FBP26,52594,452,1413,0.016906,0.6
YJL156C,SSY5,76177,687,0,,0.5
YJL156W-A,,8426,73,,,
YJL157C,FAR1,94571,830,200,0.069315,1.3
YJL158C,CIS3,23241,227,10527,0.063013,18.6
YJL159W,HSP150,41059,413,12263,0.086643,7.7
YJL160C,,30215,287,0,,0.6
YJL161W,,20185,180,2283,,0.7
YJL162C,JJJ2,67389,583,154,0.034657,0.5
YJL163C,,61524,555,0,,0.5
YJL164C,TPK1,46058,397,2324,0,1
YJL165C,HAL5,95454,855,0,0,0.7
YJL166W,QCR8,10975,94,3687,0.099021,4.3
YJL167W,ERG20,40483,352,15219,0.053319,3.3
YJL168C,SET2,84539,733,460,0.346574,0.5
YJL169W,,14007,122,6155,0.000891,0.7
YJL170C,ASG7,24946,209,0,,0.5
YJL171C,,43013,396,3461,0.031507,1.8
YJL172W,CPS1,64596,576,605,0.077016,0.6
YJL173C,RFA3,13816,122,6720,0.000217,2.5
YJL174W,KRE9,29988,276,0,,2.1
YJL175W,,17731,170,0,,0.7
YJL176C,SWI3,92926,825,1729,0.009627,0.5
YJL177W,RPL17B,20551,184,20221,0,22.6
YJL178C,ATG27,30201,271,5145,0.015753,1.6
YJL179W,PFD1,12738,109,1078,0.000891,0.9
YJL180C,ATP12,36554,325,5352,0.003894,0.7
YJL181W,,69476,611,630,0.000891,0.5
YJL182C,,12477,105,0,,0.9
YJL183W,MNN11,47800,422,2739,0.086643,1.2
YJL184W,GON7,13605,123,1832,0,1.1
YJL185C,,33740,293,0,,0.6
YJL186W,MNN5,67252,586,5883,0.053319,0.8
YJL187C,SWE1,92467,819,8960,0.007877,0.6
YJL188C,BUD19,11666,102,0,,2.7
YJL189W,RPL39,6342,51,340584,0,26.5
YJL190C,RPS22A,14626,130,26329,0,45.5
YJL191W,RPS14B,14650,138,4457,0,10
YJL192C,SOP4,26597,234,8218,0.001992,2.3
YJL193W,,45937,402,0,,0.6
YJL194W,CDC6,58036,513,2134,0.049511,0.6
YJL195C,,25439,233,0,,0.7
YJL196C,ELO1,36234,310,4057,0.040773,6.3
YJL197C-A,,10083,93,,,
YJL197W,UBP12,143191,1254,3783,0,0.6
YJL198W,PHO90,97687,881,1601,0,1
YJL199C,MBB1,12522,108,2481,,0.7
YJL200C,ACO2,86582,789,7835,0.020387,1
YJL201W,ECM25,68463,599,2211,0.008887,0.5
YJL202C,,12942,115,1711,0.000891,0.5
YJL203W,PRP21,33052,280,2092,0,0.5
YJL204C,RCY1,97470,840,2267,0.019804,0.5
YJL205C,NCE101,6336,53,,,
YJL206C,,86662,758,0,,0.7
YJL207C,LAA1,229898,2014,3861,0.027726,1
YJL208C,NUC1,37209,329,3251,0.017329,0.9
YJL209W,CBP1,76171,654,3977,0.01612,0.6
YJL210W,PEX2,30751,271,1490,0.000891,1.1
YJL211C,,16822,147,0,,0.8
YJL212C,OPT1,91615,799,3061,0.346574,0.8
YJL213W,,35905,331,0,,0.7
YJL214W,HXT8,63492,569,523,0,0.5
YJL215C,,13857,119,0,,0.7
YJL216C,,67556,581,0,,0.7
YJL217W,,21967,198,936,0.007001,1.7
YJL218W,,21479,196,0,,0.6
YJL219W,HXT9,62857,567,0,,0.6
YJL220W,,16970,150,0,,0.7
YJL221C,FSP2,68698,589,0,,0.4
YJL222W,VTH2,174400,1549,233,0,0.5
YJL222W-A,,8646,75,,,
YJL222W-B,,5420,45,,,
YJL223C,PAU1,12866,120,0,,1.3
YJL225C,,197563,1758,0,,2
YJL225W-A,,18605,160,,,
YJR001W,AVT1,65345,602,1531,0.027726,0.9
YJR002W,MPP10,66952,593,0,,0.9
YJR003C,,59765,519,2276,0.011748,0.8
YJR004C,SAG1,70339,650,0,,1.1
YJR005C-A,,10869,93,,,
YJR005W,APL1,80453,700,1722,0.020387,0.8
YJR006W,HYS2,55295,487,526,0.01612,0.6
YJR007W,SUI2,34717,304,34947,0.016504,2.4
YJR008W,,38482,338,285,0.036481,0.6
YJR009C,TDH2,35847,332,296122,0,30.7
YJR010C-A,SPC1,10819,94,3184,0.005134,1
YJR010W,MET3,57724,511,3123,0.015753,0.4
YJR011C,,30473,261,2151,0.010193,0.5
YJR012C,,23190,207,452,0.001654,0.6
YJR013W,GPI14,47166,403,1481,0.018241,0.8
YJR014W,TMA22,22495,198,13546,0.000891,1.2
YJR015W,,58117,510,700,0.053319,1.2
YJR016C,ILV3,62861,585,61198,0.015403,1.6
YJR017C,ESS1,19405,170,40050,0,1.5
YJR018W,,13289,120,0,,1
YJR019C,TES1,40259,349,0,,0.6
YJR020W,,12281,110,0,,0.6
YJR021C,REC107,35683,314,591,0.000891,0.6
YJR022W,LSM8,12385,109,1214,0,0.7
YJR023C,,15282,133,0,,0.9
YJR024C,,27427,244,799,0.049511,2.3
YJR025C,BNA1,20235,177,1953,0.003747,1.7
YJR030C,,84289,745,0,,0.6
YJR031C,GEA1,159435,1408,1741,0,0.6
YJR032W,CPR7,45133,393,2325,0.016906,0.9
YJR033C,RAV1,154932,1357,450,0,0.5
YJR034W,PET191,12394,108,0,,0.9
YJR035W,RAD26,124527,1085,2123,0,0.6
YJR036C,HUL4,103456,892,0,,0.4
YJR037W,,14404,127,0,,1.1
YJR038C,,13020,120,0,,0.6
YJR039W,,127438,1121,0,,0.6
YJR040W,GEF1,87591,779,541,0.000891,0.6
YJR041C,URB2,135116,1174,1523,0.021661,0.9
YJR042W,NUP85,84897,744,4634,0.004007,0.9
YJR043C,POL32,40309,350,2023,0.00912,0.7
YJR044C,VPS55,15663,140,1857,0,1.9
YJR045C,SSC1,70627,654,57630,0.000891,4.1
YJR046W,TAH11,68405,604,1842,0.04621,0.5
YJR047C,ANB1,17131,157,6934,0.057762,3.8
YJR048W,CYC1,12182,109,4086,0.011363,1.5
YJR049C,UTR1,59469,530,2602,0.043322,0.8
YJR050W,ISY1,28024,235,1668,0.040773,0.6
YJR051W,OSM1,55065,501,363,0.038508,0.6
YJR052W,RAD7,63777,565,787,0.018734,0.5
YJR053W,BFA1,66086,574,1157,0.018241,0.4
YJR054W,,57516,497,452,0.000891,0.8
YJR055W,HIT1,18376,164,2296,0.008453,0.6
YJR056C,,27361,236,1584,0.346574,0.7
YJR057W,CDC8,24687,216,2505,0,0.8
YJR058C,APS2,17373,147,1168,0.00478,1.6
YJR059W,PTK2,91400,818,2397,0.013863,0.6
YJR060W,CBF1,39387,351,3731,0.018241,0.7
YJR061W,,108426,935,351,0.000891,0.9
YJR062C,NTA1,51896,457,1380,0.012603,0.7
YJR063W,RPA12,13660,125,9643,0.007702,1.5
YJR064W,CCT5,61914,562,6647,0.000891,3.1
YJR065C,ARP3,49541,449,5589,0.000891,1.8
YJR066W,TOR1,281137,2470,1797,0.138629,0.6
YJR067C,YAE1,16076,141,1174,0,1
YJR068W,RFC2,39741,353,2594,0.02236,1.1
YJR069C,HAM1,22093,197,3430,0.013591,1.4
YJR070C,LIA1,36164,325,20196,0.011002,2.1
YJR071W,,13981,122,0,,1.2
YJR072C,NPA3,43194,385,9096,0.004916,1.4
YJR073C,OPI3,23150,206,3225,0.003415,12.5
YJR074W,MOG1,24307,218,2382,0.023902,0.8
YJR075W,HOC1,46297,396,3639,0.086643,1.1
YJR076C,CDC11,47648,415,6159,0.01118,1.1
YJR077C,MIR1,32812,311,11674,0.000891,5.8
YJR078W,BNA2,50775,453,125,0.034657,0.5
YJR079W,,12596,109,762,0.015753,0.6
YJR080C,,44427,394,1346,0.008557,0.9
YJR082C,EAF6,12895,113,423,0.003767,0.9
YJR083C,ACF4,35520,309,904,0.01216,0.6
YJR084W,CSN12,49482,423,1270,0.027726,0.8
YJR085C,,11250,105,1510,0.000891,6.7
YJR086W,STE18,12625,110,4385,0.000891,1.4
YJR087W,,13145,116,0,,0.5
YJR088C,,33855,292,4076,0,0.9
YJR089W,BIR1,108666,954,1569,0.000891,0.5
YJR090C,GRR1,132733,1151,0,,0.5
YJR091C,JSN1,120373,1091,722,0.01612,0.7
YJR092W,BUD4,165022,1448,1418,0.000891,0.6
YJR093C,FIP1,35777,327,1101,0.009627,0.5
YJR094C,IME1,41858,360,0,,0.6
YJR094W-A,RPL43B,10091,92,34901,0,7.5
YJR095W,SFC1,35340,322,0,,0.4
YJR096W,,32344,282,5850,0.011002,1
YJR097W,JJJ3,20027,172,1477,0.016906,0.6
YJR098C,,74131,655,1269,0.012836,0.5
YJR099W,YUH1,26385,236,0,,0.6
YJR100C,,37479,327,0,,0.9
YJR101W,RSM26,30223,266,1788,0.007453,1.1
YJR102C,VPS25,23557,202,0,,0.5
YJR103W,URA8,63056,564,2203,0.021661,1.1
YJR104C,SOD1,15855,154,154972,0,16.3
YJR105W,ADO1,36372,340,33286,0.011552,7.4
YJR106W,ECM27,80656,725,0,,0.5
YJR107W,,37261,328,0,,0.5
YJR108W,ABM1,14204,123,0,,0.6
YJR109C,CPA2,123914,1118,8705,0.099021,0.8
YJR110W,YMR1,80151,688,910,0.036481,0.5
YJR111C,,32208,283,1584,0.010046,0.7
YJR112W,NNF1,23639,201,1308,0.004077,0.8
YJR112W-A,,12481,109,,,
YJR113C,RSM7,27816,247,1598,0.018241,1
YJR114W,,13965,130,0,,0.5
YJR115W,,19049,169,0,,0.6
YJR116W,,32011,279,756,0.000891,0.9
YJR117W,STE24,52324,453,14083,0.028881,1.8
YJR118C,ILM1,23645,203,778,0.000891,0.9
YJR119C,JHD2,84983,728,243,0.019254,0.5
YJR120W,,13410,116,0,,0.7
YJR121W,ATP2,54793,511,42768,0.000105,3.7
YJR122W,CAF17,57054,497,2486,0.015068,0.6
YJR123W,RPS5,25038,225,645103,0,34.3
YJR124C,,49663,448,0,,0.7
YJR125C,ENT3,45091,408,3261,0.000891,0.9
YJR126C,VPS70,92017,811,94,0.049511,0.8
YJR127C,RSF2,155061,1380,2310,0.011363,0.7
YJR128W,,13497,119,0,,0.7
YJR129C,,38996,339,1303,0.053319,0.6
YJR130C,STR2,72350,639,1740,0.015403,0.6
YJR131W,MNS1,63057,549,4134,0.008252,0.6
YJR132W,NMD5,119982,1048,7331,0.011363,0.7
YJR133W,XPT1,23671,209,605,0.010193,1.6
YJR134C,SGM1,81170,707,252,0.000355,0.6
YJR135C,MCM22,27567,239,861,0,0.5
YJR135W-A,TIM8,9764,87,10443,0.000891,
YJR136C,,48648,421,1236,0.00459,0.6
YJR137C,ECM17,161218,1442,1870,0.005545,0.6
YJR138W,IML1,181948,1584,235,0.000891,0.5
YJR139C,HOM6,38502,359,22591,0.012378,4.5
YJR140C,HIR3,191678,1648,659,0.033007,0.6
YJR140W-A,,5765,49,,,
YJR141W,,39902,347,0,,0.8
YJR142W,,39690,342,182,0.019804,0.7
YJR143C,PMT4,87966,762,2229,0.036481,2.7
YJR144W,MGM101,30090,269,0,,1.7
YJR145C,RPS4A,29410,261,47976,0,19
YJR146W,,13171,117,799,0.000891,0.5
YJR147W,HMS2,41192,358,1505,0.016504,0.7
YJR148W,BAT2,41624,376,13782,0.000891,2.5
YJR149W,,45143,404,145,0.007453,0.5
YJR150C,DAN1,29534,298,0,,0.7
YJR151C,DAN4,118358,1161,4923,0.000891,0.5
YJR151W-A,,1976,16,,,
YJR152W,DAL5,60849,543,1861,0.000891,0.7
YJR153W,PGU1,37287,361,0,,0.4
YJR154W,,38972,346,1347,0.023105,0.4
YJR155W,AAD10,32570,288,0,,0.4
YJR156C,THI11,38631,340,632,0.231049,0.5
YJR157W,,13940,120,0,,0.7
YJR158W,HXT16,62920,567,0,,0.6
YJR159W,SOR1,38165,357,0,,0.9
YJR160C,MPH3,67256,602,0,,0.4
YJR161C,COS5,45708,383,685,0.030137,1.1
YJR162C,,13383,116,0,,0.5
YKL001C,MET14,23060,202,1466,0.000126,2
YKL002W,DID4,26291,232,895,0.000891,1.6
YKL003C,MRP17,15021,131,4792,0.000891,1.4
YKL004W,AUR1,45193,401,3794,0.007374,1.8
YKL005C,BYE1,67900,594,824,0.031507,0.5
YKL006C-A,SFT1,10960,97,1191,0.043322,1.1
YKL006W,RPL14A,15167,138,161942,0,31
YKL007W,CAP1,30699,268,3931,0,1.4
YKL008C,LAC1,48992,418,3358,0.009002,1.3
YKL009W,MRT4,27058,236,10534,0.009495,4.4
YKL010C,UFD4,167841,1483,3264,0.063013,0.9
YKL011C,CCE1,41000,353,2029,,0.6
YKL012W,PRP40,69065,583,3653,,1.1
YKL013C,ARC19,19916,171,5731,0,2
YKL014C,URB1,203285,1764,3742,0.015403,0.8
YKL015W,PUT3,111413,979,619,0.000891,0.7
YKL016C,ATP7,19809,174,4336,0.043322,2.7
YKL017C,HCS1,78272,683,690,0.019804,0.6
YKL018C-A,,11811,99,541,0.000891,
YKL018W,SWD2,37122,329,592,0.02666,0.6
YKL019W,RAM2,37507,316,332,0.02666,0.8
YKL020C,SPT23,121337,1082,437,0.020387,0.4
YKL021C,MAK11,53672,468,2962,0.004053,1.2
YKL022C,CDC16,94991,840,2312,0.010502,0.6
YKL023C-A,,8519,75,,,
YKL023W,,32303,277,1015,0.015753,0.5
YKL024C,URA6,22933,204,2888,0.002107,2.2
YKL025C,PAN3,76454,679,1263,0.019254,0.5
YKL026C,GPX1,19484,167,2465,,0.7
YKL027W,,50265,447,2123,0.011748,0.7
YKL028W,TFA1,54741,482,16224,0.024755,1.6
YKL029C,MAE1,74375,669,6357,0.023902,0.9
YKL030W,,22956,201,0,,1.5
YKL031W,,15626,137,0,,0.8
YKL032C,IXR1,67856,597,4026,0.069315,0.6
YKL033W,,118888,1038,605,0.000891,0.5
YKL033W-A,,26170,236,,,
YKL034W,TUL1,87879,758,0,,0.5
YKL035W,UGP1,55987,499,20167,0.01216,5
YKL036C,,14909,130,0,,0.8
YKL037W,,12936,118,0,,0.8
YKL038W,RGT1,128239,1170,164,0.049511,0.5
YKL039W,PTM1,60018,523,0,,1.1
YKL040C,NFU1,29174,256,6939,0.005924,0.8
YKL041W,VPS24,26242,224,1530,0,0.7
YKL042W,SPC42,42271,363,2169,0.000891,0.6
YKL043W,PHD1,40646,366,1191,0.049511,0.8
YKL044W,,12448,106,0,,0.6
